dataset,sensitive_feature,dataset_size,test_size,run_adv,rounds,local_epochs,client_num,batch_size,test_accuracy,M_deo,M_dpd
german_credit,marital-status,200,0.4,0.88,5,1,3,50,0.6625,0.40010561520859,0.1981566820276498
german_credit,marital-status,200,0.4,0.92,5,1,3,50,0.75,0.12143996354522668,0.06378986866791747
german_credit,marital-status,200,0.4,0.96,5,1,3,50,0.4,0.09586056644880174,0.045454545454545456
german_credit,marital-status,200,0.4,1.0,5,1,3,10,0.7375,0.4897727272727273,0.23934837092731828
bank_marketing,marital-status,200,0.4,0.2,5,1,3,10,0.7625,0.2934588855304968,0.15000000000000002
bank_marketing,marital-status,200,0.4,0.24,5,1,3,10,0.5,0.24516908212560384,0.12030075187969924
bank_marketing,marital-status,200,0.4,0.28,5,1,3,10,0.5875,0.1659090909090909,0.020050125313283207
bank_marketing,marital-status,200,0.4,0.32,5,1,3,10,0.8,0.20873348873348885,0.07575757575757569
bank_marketing,marital-status,200,0.4,0.36,5,1,3,10,0.5625,0.0911764705882353,0.03809523809523807
bank_marketing,marital-status,200,0.4,0.4,5,1,3,10,0.775,0.11064425770308117,0.04690431519699817
bank_marketing,marital-status,200,0.4,0.44,5,1,3,10,0.8625,0.4137069071279597,0.18038969201759902
bank_marketing,marital-status,200,0.4,0.48,5,1,3,10,0.9125,0.20473078120136945,0.07644110275689231
bank_marketing,marital-status,200,0.4,0.52,5,1,3,10,0.5875,0.29904540763673887,0.15151515151515155
bank_marketing,marital-status,200,0.4,0.56,5,1,3,10,0.8125,0.26592105263157895,0.08505315822388992
bank_marketing,marital-status,200,0.4,0.6,5,1,3,10,0.6625,0.04999999999999999,0.005050505050505083
bank_marketing,education,200,0.4,0.2,5,1,3,10,0.7375,0.18933697881066303,0.08736643620364554
bank_marketing,education,200,0.4,0.24,5,1,3,10,0.775,0.14115067079463356,0.06879299562226387
bank_marketing,education,200,0.4,0.28,5,1,3,10,0.7875,0.09285345717234267,0.05279698302954117
bank_marketing,education,200,0.4,0.32,5,1,3,10,0.775,0.3369047619047619,0.10858585858585856
bank_marketing,education,200,0.4,0.36,5,1,3,10,0.6625,0.10692810457516339,0.053968253968254
bank_marketing,education,200,0.4,0.4,5,1,3,10,0.6375,0.06364734299516911,0.016118633139909744
bank_marketing,education,200,0.4,0.44,5,1,3,10,0.7375,0.21247139588100694,0.06892230576441105
bank_marketing,education,200,0.4,0.48,5,1,3,10,0.5125,0.0,0.0
bank_marketing,education,200,0.4,0.52,5,1,3,10,0.7125,0.5438596491228072,0.07500000000000007
bank_marketing,education,200,0.4,0.56,5,1,3,10,0.6,0.09103173041791968,0.019091507570770272
bank_marketing,education,200,0.4,0.6,5,1,3,10,0.8,0.22447143499775074,0.0
compas,sex,200,0.4,0.2,5,1,3,10,1.0,0.315018315018315,0.14141414141414144
compas,sex,200,0.4,0.24,5,1,3,10,0.9625,0.2934329287270464,0.04545454545454547
compas,sex,200,0.4,0.28,5,1,3,10,0.95,0.17656895534133382,0.07500000000000001
compas,sex,200,0.4,0.32,5,1,3,10,0.9875,0.11225490196078425,0.0739348370927318
compas,sex,200,0.4,0.36,5,1,3,10,0.9625,0.1571428571428572,0.06666666666666665
compas,sex,200,0.4,0.4,5,1,3,10,0.9625,0.18859649122807015,0.10025062656641609
compas,sex,200,0.4,0.44,5,1,3,10,0.9875,0.20767263427109972,0.10245128849780011
compas,sex,200,0.4,0.48,5,1,3,10,0.9625,0.24285714285714283,0.12632895559724833
compas,sex,200,0.4,0.52,5,1,3,10,0.9625,0.16937799043062196,0.07142857142857145
compas,sex,200,0.4,0.56,5,1,3,10,0.95,0.18060200668896315,0.07899934167215278
compas,sex,200,0.4,0.6,5,1,3,10,0.975,0.1995477824997276,0.12193588937774985
compas,race,200,0.4,0.8,5,1,3,10,0.9875,0.21504127966976266,0.09818636647904938
compas,race,200,0.4,0.84,5,1,3,10,1.0,0.16055289739500267,0.0
compas,race,200,0.4,0.88,5,1,3,10,0.9875,0.1601010101010102,0.02130325814536349
compas,race,200,0.4,0.92,5,1,3,10,0.95,0.4951624462494028,0.07828282828282829
compas,race,200,0.4,0.96,5,1,3,10,0.9625,0.23931623931623924,0.040100250626566414
compas,race,200,0.4,1.0,5,1,3,10,0.9875,0.23426501035196695,0.0018761726078799223

