dataset,sensitive_feature,dataset_size,test_size,run_adv,rounds,local_epochs,client_num,batch_size,test_accuracy,M_deo,M_dpd
adult,race,1000,0.4,0.44,5,1,3,50,0.84,0.1581970840096719,0.0505050505050505
adult,race,1000,0.4,0.48,5,1,3,50,0.785,0.1570893692562696,0.0813301282051282
adult,race,1000,0.4,0.52,5,1,3,50,0.8275,0.1578474514118078,0.0553871589969688
adult,race,1000,0.4,0.56,5,1,3,50,0.8375,0.1130065359477124,0.0308257706442661
adult,race,1000,0.4,0.6,5,1,3,50,0.7925,0.0181619063322066,0.0072827277125614
adult,race,1000,0.4,0.64,5,1,3,50,0.825,0.0994560994560994,0.0456730769230769
adult,race,1000,0.4,0.68,5,1,3,50,0.8075,0.2357227540338185,0.1178492884046613
adult,race,1000,0.4,0.72,5,1,3,50,0.845,0.1483539105587066,0.005
adult,race,1000,0.4,0.76,5,1,3,50,0.795,0.1291949472096531,0.051105110511051
adult,race,1000,0.4,0.8,5,1,3,50,0.785,0.1939322301024429,0.0407040704070407
german_credit,sex,1000,0.4,0.6,5,1,3,50,0.705,0.0863088903658415,0.044999999999999984
german_credit,sex,1000,0.4,0.64,5,1,3,50,0.7275,0.1391610916748301,0.0745574557455746
german_credit,sex,1000,0.4,0.68,5,1,3,50,0.7325,0.143609262312047,0.0715523085034269
german_credit,sex,1000,0.4,0.72,5,1,3,50,0.69,0.1730469788255981,0.0838520963024075
german_credit,sex,1000,0.4,0.6,5,1,3,50,0.705,0.0863088903658415,0.0449999999999999
german_credit,sex,1000,0.4,0.76,5,1,3,50,0.7475,0.1712045612045612,0.0970458830923947
german_credit,sex,1000,0.4,0.8,5,1,3,50,0.645,0.1057306966960432,0.0236378205128205
german_credit,sex,1000,0.4,0.84,5,1,3,50,0.6475,0.0348223499926286,0.0175289440124027
german_credit,sex,1000,0.4,0.88,5,1,3,50,0.6825,0.0722763795344439,0.0411494771684344
german_credit,sex,1000,0.4,0.92,5,1,3,50,0.675,0.0316637721858872,0.0097744360902255
german_credit,sex,1000,0.4,0.96,5,1,3,50,0.645,0.0824414279744696,0.0388849964968471
german_credit,sex,1000,0.4,1.0,5,1,3,50,0.69,0.1443144451456472,0.065
german_credit,marital-status,1000,0.4,0.4,5,1,3,50,0.705,0.1261179296893583,0.06276412192743364
german_credit,marital-status,1000,0.4,0.44,5,1,3,50,0.705,0.052277086611236756,0.009505941213258318
german_credit,marital-status,1000,0.4,0.48,5,1,3,50,0.715,0.20553665910808766,0.1003403062756481
german_credit,marital-status,1000,0.4,0.52,5,1,3,50,0.77,0.11925070725147319,0.025313283208020065
german_credit,marital-status,1000,0.4,0.56,5,1,3,50,0.6825,0.058224746933572324,0.012638230647709359
german_credit,marital-status,1000,0.4,0.6,5,1,3,50,0.6575,0.14642678660669667,0.07431937106600267
german_credit,marital-status,1000,0.4,0.64,5,1,3,50,0.6975,0.04685043931338101,0.018266439795816214
german_credit,marital-status,1000,0.4,0.68,5,1,3,50,0.6525,0.15322320275505813,0.07537133681252506
german_credit,marital-status,1000,0.4,0.72,5,1,3,50,0.7275,0.036895821183668964,0.014743060248804785
german_credit,marital-status,1000,0.4,0.76,5,1,3,50,0.74,0.049792001498343175,0.035800895022375545
