run_adv,rounds,local_epochs,client_num,batch_size,test_accuracy,test_avg_loss,M_deo,M_dpd
0,5,1,3,50,0.831,0.0072431001961231235,0.09493593003318407,0.021928789436419738
1,5,1,3,50,0.844,0.007553351938724518,0.06863199516711566,0.024622182377049162
0,20,1,3,50,0.837,0.00794488275051117,0.1230951663867671,0.023341188541015467
1,20,1,3,50,0.827,0.007510797619819641,0.061068352605904874,0.002550897627183968
